Dienstag, 5. November 2024  -  16:32:28
FlexTool V5.4

** -------------------------------------------------------------------------- **

Sektor;Attribut;;

0;GeogrLaenge;8.5
0;GeogrBreite;47.4
0;OffsetUTC;1

16;Ausrichtung;64
16;KurveOben;-90;0
16;KurveOben;-85;0
16;KurveOben;-85;90
16;KurveOben;85;90
16;KurveOben;85;0
16;KurveOben;90;0
16;KurveUnten;-90;90
16;KurveUnten;-82;90
16;KurveUnten;-82;3
16;KurveUnten;-10.4;3
16;KurveUnten;-10.2;8
16;KurveUnten;-8.5;9
16;KurveUnten;-5.5;8
16;KurveUnten;-5.4;3
16;KurveUnten;30.8;4
16;KurveUnten;30.8;31
16;KurveUnten;39;36
16;KurveUnten;45.5;34
16;KurveUnten;52.8;30
16;KurveUnten;52.8;4
16;KurveUnten;59.2;4
16;KurveUnten;70;6
16;KurveUnten;82;7
16;KurveUnten;82;90
16;KurveUnten;89.9;90
16;KurveUnten;90;90
